TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,High_confidence,Source,TEFF_SPEC,LOGG_SPEC,FE_H_SPEC,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
87066,24573,105.7846064,33.42180928,0.971,15.897192,15.5811558,15.4448185,14.691824,14.5569267,13.9760818,13.7632666,13.2695837,13.1827936,13.0007954,12.8944721,12.873148,0.985839844,0,1,New,,,,4900.669,2.5368135,-0.5096248,71.13142,0.14164598,0.08121212
87066,24586,105.1372444,33.42581882,0.945,17.5138283,17.2259445,17.0998611,16.2214241,16.0279255,15.4033642,15.1674671,14.6415558,14.5438156,14.3506851,14.2403193,14.2080402,0.960449219,0,1,New,,,,4679.4336,2.4132986,-0.5057946,91.64394,0.20472188,0.1492106
87066,24904,106.4740298,33.43219105,0.978,17.3718052,17.1422863,16.8193512,15.8914289,15.5765057,14.8821115,14.6907148,14.0127373,13.8973465,13.6990376,13.5677118,13.5440369,0.904296875,0,0,New,,,,4505.5054,2.5681953,-0.20911151,74.31825,0.16621959,0.113794245
87066,26003,106.2000061,33.47379904,0.967,16.1916809,15.9594135,15.7577753,15.0147209,14.8374281,14.2459688,14.0222025,13.5307188,13.4341412,13.2538338,13.1446838,13.1273184,0.986328125,1,1,New,,,,4848.976,2.4356103,-0.493628,65.3274,0.13805892,0.099758886
87066,26881,105.2061511,33.50803684,0.967,17.460125,17.2008057,16.8778934,15.9881468,15.6660814,14.9505978,14.7488613,14.0984097,13.9929342,13.8015442,13.6738939,13.6538525,0.945800781,0,0,New,,,,4609.652,2.9083397,-0.076541014,76.323326,0.18841267,0.122867316
87066,27829,105.374356,33.60351173,0.997,16.7698822,16.6804352,16.1617527,15.3423891,14.9872637,14.2875175,14.0946646,13.4404325,13.3242702,13.1530781,13.0295124,13.0083094,0.961914063,0,1,New,,,,4623.482,2.967108,0.072383754,74.53679,0.17431511,0.1007729
87066,27876,105.5511278,33.60066418,0.939,16.8256512,16.6228771,16.3605309,15.6208591,15.466897,14.8415232,14.6403475,14.1225052,14.0309296,13.8543797,13.7410793,13.7185345,0.959472656,0,1,New,,,,4799.4766,2.5252693,-0.4849713,96.233086,0.120462604,0.09474285
87066,27941,106.580465,33.60703391,1,15.5994568,15.3771734,15.1243763,14.3109779,14.0743971,13.4262438,13.197176,12.667491,12.5785275,12.4005995,12.2915344,12.2740746,0.986328125,0,1,New,,,,4731.5215,2.5692573,-0.3569961,81.98451,0.12677506,0.12045065
87066,28212,105.5467422,33.58430967,0.986,16.4276428,16.300108,15.8515978,14.9820757,14.6528111,13.932683,13.6993771,13.0673885,12.9614506,12.7673025,12.6353025,12.6076469,0.989257813,0,1,New,,,,4530.1636,2.4683008,-0.14226548,64.307686,0.18777722,0.12512088
87066,28394,105.0924071,33.58480272,0.987,16.39114,16.0594482,15.9033794,15.1525059,15.012825,14.4339294,14.2187176,13.7255592,13.6375923,13.4518375,13.3424435,13.3252754,0.977539063,0,1,New,,,,4880.2495,2.4776952,-0.5030584,59.796043,0.12381695,0.07758396
87066,28819,105.9561708,33.56687557,0.955,16.4534779,16.3279953,15.9157429,15.1209831,14.8126049,14.1116543,13.8762922,13.2902412,13.1833754,13.0019321,12.8785906,12.8568153,0.990234375,0,1,New,,,,4663.976,2.5427957,-0.17567486,63.6644,0.09726262,0.10120025
